"country","league","season","squad","expenditure_euros","income_euros","avg_age_out","avg_age_in"
"Spain","LaLiga","Real Madrid","Real Madrid",0,108200000,22.7,21.7
"Spain","LaLiga","Real Madrid","FC Barcelona",111940000,154400000,25.1,21.8
"Spain","LaLiga","Real Madrid","Atlético de Madrid",9.2e+07,83300000,24.8,24.1
"Spain","LaLiga","Real Madrid","Sevilla FC",74350000,19680000,25.3,25.7
"Spain","LaLiga","Real Madrid","Villarreal CF",36500000,26650000,25.7,24.1
"Spain","LaLiga","Real Madrid","Getafe CF",22050000,9750000,26.2,24.1
"Spain","LaLiga","Real Madrid","Real Sociedad",1e+07,28250000,28.1,25.5
"Spain","LaLiga","Real Madrid","Valencia CF",50000,88850000,27.1,22.4
"Spain","LaLiga","Real Madrid","Athletic Bilbao",1.2e+07,0,25.8,22.4
"Spain","LaLiga","Real Madrid","Granada CF",20500000,0,26.2,25.2
"Spain","LaLiga","Real Madrid","CA Osasuna",9150000,3450000,26.3,26.4
"Spain","LaLiga","Real Madrid","Levante UD",8e+06,5e+06,25.5,24.5
"Spain","LaLiga","Real Madrid","Real Betis Balompié",0,43700000,24.9,24.6
"Spain","LaLiga","Real Madrid","Real Valladolid CF",9850000,12100000,25,25.5
"Spain","LaLiga","Real Madrid","Cádiz CF",10100000,0,26.1,25.8
"Spain","LaLiga","Real Madrid","SD Eibar",2e+06,150000,28.3,24.7
"Spain","LaLiga","Real Madrid","Deportivo Alavés",0,4880000,24.8,24.3
"Spain","LaLiga","Real Madrid","SD Huesca",4650000,0,24.6,25.2
"Spain","LaLiga","Real Madrid","Celta de Vigo",3e+06,2500000,26.3,25.3
"Spain","LaLiga","Real Madrid","Elche CF",6100000,7300000,27.3,27.5
